,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,Training Time (min),lr,max_depth,colsample_bytree,min_child_samples,early stopping (iterations)
1,model_9999,0.9999999948804988,0.0015541587104511518,0.9999991876853093,0.032656076319731865,0.9956021650879567,0.9598704815730602,1.7813385327657063,0.05,3,0.5,20,50.0
2,model_9999,0.9999999846414965,0.0014058992891867398,0.9999992283010437,0.03134440793455303,0.9928958051420839,0.9489665018250324,1.7938673098882039,0.05,3,0.5,30,50
3,model_9999,0.9999999846414965,0.0012060134427779648,0.9999998375370618,0.027257057071444577,0.9952638700947226,0.9532038149063935,1.777203667163849,0.05,3,0.5,40,50
4,model_9999,0.9999999948804988,0.0008145935797961873,0.9999991876853093,0.022764355197450615,0.9956021650879567,0.9407391381137408,0.5651286085446675,0.05,3,0.7,20,50
5,model_9999,0.9999999846414965,0.001105485423571443,0.9999994313797165,0.02946385821733831,0.9962787550744249,0.9557391381137407,0.5259332736333211,0.05,3,0.7,30,50
6,model_9999,0.9999999948804988,9.784061589730283e-05,0.9999998375370618,0.013117796769337813,0.9956021650879567,0.9146633502099769,0.8114413102467855,0.05,3,0.7,40,50
7,model_9999,0.9999999948804988,0.0004600694253712668,0.9999989846066366,0.019830950302585557,0.9952638700947226,0.9257509125161898,0.6634267648061116,0.05,3,0.9,20,50
8,model_9999,0.9999999948804988,0.00058091530522007,0.9999988627594331,0.022617221018634438,0.9962787550744249,0.9490842458495232,0.5931702295939127,0.05,3,0.9,30,50
9,model_9999,0.9999999091249159,0.0015358729467459282,0.9999992283010437,0.0334539105177187,0.9945872801082544,0.9556802661014954,0.49124402602513634,0.05,3,0.9,40,50
10,model_9999,0.9999999948804988,0.00018072967012033075,0.9999991876853093,0.012831909003392459,0.9969553450608931,0.9421633502099769,2.4265143553415935,0.05,5,0.5,20,50
11,model_9999,0.9999999948804988,7.828789332778317e-05,0.9999995938426547,0.012542283569625324,0.996617050067659,0.9310522390988657,2.723829897244771,0.05,5,0.5,30,50
12,model_0,0.9999999809554556,0.0024265792059067885,1.0,0.03879500272265837,0.9901894451962111,0.9463723066054397,1.57384379307429,0.05,5,0.5,40,50
13,model_9999,0.9999999948804988,0.0002580772521134301,0.9999991876853093,0.015939317659127983,0.9959404600811907,0.9241077946544214,0.8436412692070008,0.05,5,0.7,20,50
14,model_9999,0.9999999948804988,0.0014194562626072065,0.9999990252223712,0.02900402357602575,0.9945872801082544,0.959835158365713,0.6973993380864462,0.05,5,0.7,30,50
15,model_0,0.9999999948804988,0.0002770391640516537,1.0,0.014121689888686291,0.9962787550744249,0.9354849091408611,0.809081780910492,0.05,5,0.7,40,50
16,model_9999,0.9999999948804988,0.0004355846252746534,0.9999991876853093,0.019945518929016394,0.9945872801082544,0.9257273637112917,0.8507976333300272,0.05,5,0.9,20,50
17,model_9999,0.9999999873125406,0.0013146225809587777,0.9999990252223712,0.028724223118782248,0.9942489851150202,0.9420691549903842,0.7750860095024109,0.05,5,0.9,30,50
18,model_9999,0.9999999948804988,0.00012064495569343104,0.9999998375370618,0.012579746896313993,0.9956021650879567,0.9174411279877546,0.905243988831838,0.05,5,0.9,40,50
19,model_9999,0.9999999948804988,0.00016154793766157897,0.9999993907639819,0.012315135503605858,0.9956021650879567,0.935461360335963,2.5898107091585794,0.05,7,0.5,20,50
20,model_9999,0.9999999873125406,0.005988999662648305,0.9999987002964947,0.053671111147681104,0.986468200270636,0.9528976804427175,1.7738584955533345,0.05,7,0.5,30,50
21,model_0,0.9999999948804988,0.00014944213427237957,1.0,0.011937952710456879,0.9956021650879567,0.9354613603359628,2.3680445114771524,0.05,7,0.5,40,50
22,model_9999,0.9999999948804988,0.00167632350181035,0.9999991876853093,0.027907433661494483,0.9928958051420839,0.9420220573805879,0.9147592782974243,0.05,7,0.7,20,50
23,model_9999,0.9999999948804988,0.0009987199126953476,0.9999991876853093,0.022646113317213997,0.9949255751014885,0.9531920405039445,0.8783938844998678,0.05,7,0.7,30,50
24,model_9999,0.9999999948804988,0.00017886303188759513,0.9999997969213272,0.012992273249982979,0.996617050067659,0.9421515758075277,0.9921783725420634,0.05,7,0.7,40,50
25,model_9999,0.9999999948804988,0.0003838959816535699,0.9999991876853093,0.016854731693657178,0.9952638700947226,0.9354495859335139,1.021902898947398,0.05,7,0.9,20,50
26,model_9999,0.9999999948804988,7.501445458883365e-05,0.9999992283010437,0.014455218501517203,0.9959404600811907,0.9149529023902035,1.1670651197433473,0.05,7,0.9,30,50
27,model_9999,0.9999999809554556,0.004861063012621375,0.9999990252223712,0.04746374622974379,0.9857916102841678,0.9528741316378194,0.7320904056231181,0.05,7,0.9,40,50
28,model_9999,0.9999999948804988,0.001426094724489946,0.9999991876853093,0.031392959994949635,0.9939106901217862,0.9556567172965972,1.643440850575765,0.07,3,0.5,20,50
29,model_9999,0.9999999444731024,0.001667031355148928,0.9999994313797165,0.03294160313100308,0.9918809201623816,0.9530860708819027,1.5726417144139608,0.07,3,0.5,30,50
30,model_9999,0.9999999846414965,0.0014624743642624122,0.9999998375370618,0.030598563182192843,0.9939106901217862,0.9490018250323796,1.4791569789250691,0.07,3,0.5,40,50
31,model_9999,0.9999998876354149,0.0023619139092502625,0.9999989846066366,0.043290670248727785,0.9915426251691475,0.9597291887436713,0.46789244016011555,0.07,3,0.7,20,50
32,model_9999,0.9999999846414965,0.0008516938905613614,0.9999994313797165,0.02501789761317114,0.9962787550744249,0.9490842458495232,0.5151132782300313,0.07,3,0.7,30,50
33,model_9999,0.9999999948804988,0.00034588554502438775,0.9999995938426547,0.016850122656651666,0.9959404600811907,0.9268737980297499,0.5674264113108317,0.07,3,0.7,40,50
34,model_9999,0.9999999948804988,0.0005126018902639608,0.9999989846066366,0.021319927200073897,0.9959404600811907,0.9407509125161899,0.6048100153605144,0.07,3,0.9,20,50
35,model_9999,0.9999999948804988,0.00018114401596472284,0.9999990252223712,0.016366636335151584,0.9956021650879567,0.9102189057655323,0.6679275870323181,0.07,3,0.9,30,50
36,model_9999,0.9999999948804988,0.00013852780088389224,0.9999994313797165,0.014632766180912901,0.9952638700947226,0.9146515758075278,0.6679966251055399,0.07,3,0.9,40,50
37,model_9999,0.9999999948804988,0.00031966578588032263,0.9999991876853093,0.014828324729117076,0.9969553450608931,0.9488182424741944,1.8156991561253866,0.07,5,0.5,20,50
38,model_0,0.9999999948804988,0.0003105204124784491,1.0,0.014248817906071522,0.9952638700947226,0.937949585933514,2.4126635948816935,0.07,5,0.5,30,50
39,model_0,0.9999999948804988,0.0012695629662703354,1.0,0.025166729659765238,0.9925575101488497,0.9464547274225833,1.6433918873469036,0.07,5,0.5,40,50
40,model_9999,0.9999999948804988,0.00013756405732307317,0.9999991876853093,0.013242164299463018,0.996617050067659,0.9338300168766437,0.7516620794932047,0.07,5,0.7,20,50
41,model_9999,0.9999999948804988,6.752483657275313e-05,0.9999990252223712,0.012202790582177471,0.9949255751014885,0.9024411279877546,0.8092519760131835,0.07,5,0.7,30,50
42,model_0,0.9999999948804988,0.000798457068150893,1.0,0.021749015680463724,0.9962787550744249,0.9490842458495232,0.5554122845331828,0.07,5,0.7,40,50
43,model_9999,0.9999999948804988,0.000554896961547227,0.9999991876853093,0.022487647482114625,0.9952638700947226,0.9254613603359628,0.6769503275553386,0.07,5,0.9,20,50
44,model_9999,0.9999999948804988,0.0006754742205535609,0.9999990252223712,0.02202576639039535,0.9959404600811907,0.9296515758075278,0.6441001097361246,0.07,5,0.9,30,50
45,model_9999,0.9999999948804988,0.0002431468162506225,0.9999991876853093,0.0160175683468455,0.9959404600811907,0.9163417912790925,0.6457960923512777,0.07,5,0.9,40,50
46,model_9999,0.9999999948804988,5.58964967874114e-05,0.9999993907639819,0.011189123597919348,0.9969553450608931,0.9288535656815415,2.1790011684099833,0.07,7,0.5,20,50
47,model_9999,0.9999999948804988,0.000105834151776945,0.9999993907639819,0.012308188286836242,0.9962787550744249,0.9243855724321991,2.063645076751709,0.07,7,0.5,30,50
48,model_0,0.9999999948804988,0.0013693908170723302,1.0,0.02569314811274138,0.9922192151556157,0.9464429530201343,1.395115347703298,0.07,7,0.5,40,50
49,model_9999,0.9999999948804988,5.9612041028139434e-05,0.9999993907639819,0.012584920362332722,0.9972936400541272,0.9255320067506574,1.0637391448020934,0.07,7,0.7,20,50
50,model_9999,0.9999999948804988,0.00029998569564433246,0.9999991876853093,0.01640524212927623,0.9956021650879567,0.936572471447074,0.8101504405339559,0.07,7,0.7,30,50
51,model_9999,0.9999998036159345,0.006043052440975752,0.9999991876853093,0.06012033135106753,0.9817320703653586,0.9527328388084304,0.6090343117713928,0.07,7,0.7,40,50
52,model_9999,0.9999999774741947,0.002482089896521888,0.9999988221436984,0.03435321944220096,0.9928958051420839,0.9597762863534676,0.6959728797276815,0.07,7,0.9,20,50
53,model_9999,0.9999999948804988,0.0001551159478058297,0.9999991876853093,0.016098786712799237,0.9962787550744249,0.9365960202519722,0.8887451370557149,0.07,7,0.9,30,50
54,model_9999,0.9999999707164531,0.0034451360063371445,0.9999995938426547,0.03793233351151324,0.9888362652232747,0.9529801012598611,0.6073110938072205,0.07,7,0.9,40,50
55,model_9999,0.9999999948804988,0.0004278334281316033,0.9999991876853093,0.018161317514708685,0.9959404600811907,0.9449058047804074,1.5088500499725341,0.1,3,0.5,20,50
56,model_9999,0.9999999846414965,0.00047829246229728895,0.9999994313797165,0.019623045167173222,0.9959404600811907,0.9382509125161899,1.436384379863739,0.1,3,0.5,30,50
57,model_9999,0.9999999111482127,0.0029892705790422647,0.9999996750741237,0.053145187896463796,0.9895128552097429,0.9488487578005417,1.135945975780487,0.1,3,0.5,40,50
58,model_9999,0.9999999948804988,0.0008820865762207761,0.9999989846066366,0.025275481264549232,0.9959404600811907,0.9474058047804074,0.43287221988042196,0.1,3,0.7,20,50
59,model_9999,0.9999999948804988,0.00042688895127625183,0.9999994313797165,0.019605060581239106,0.9956021650879567,0.9357509125161898,0.46074690818786623,0.1,3,0.7,30,50
60,model_9999,0.9999999846414965,0.0010495348780369543,0.9999998375370618,0.027615981159429173,0.9956021650879567,0.949060697044625,0.41074535449345906,0.1,3,0.7,40,50
61,model_9999,0.9999999948804988,0.00026778768800638967,0.9999989846066366,0.017540926303580697,0.996617050067659,0.9280084579457594,0.5371655543645223,0.1,3,0.9,20,50
62,model_9999,0.9999999948804988,0.00022946900692680282,0.9999994313797165,0.017724383120518144,0.9959404600811907,0.9241077946544213,0.5052594224611918,0.1,3,0.9,30,50
63,model_9999,0.9999999375105809,0.001528750909467574,0.9999994313797165,0.03439724455966943,0.9942489851150202,0.9556684916990463,0.4313371658325195,0.1,3,0.9,40,50
64,model_9999,0.9999999066885583,0.0028593124971639148,0.9999991876853093,0.04092496363516783,0.9891745602165088,0.9529918756623101,1.1685975948969523,0.1,5,0.5,20,50
65,model_9999,0.9999999948804988,4.812028144146078e-05,0.9999993907639819,0.012700134797816825,0.9949255751014885,0.9021515758075278,1.715907593568166,0.1,5,0.5,30,50
66,model_0,0.9999999948804988,0.0002715874509125077,1.0,0.014746022769380319,0.9956021650879567,0.924362023627301,1.3356324752171835,0.1,5,0.5,40,50
67,model_9999,0.9999999948804988,0.000748502945052197,0.9999991876853093,0.023287809232496032,0.9949255751014885,0.947648259350838,0.5001323580741882,0.1,5,0.7,20,50
68,model_9999,0.9999999948804988,4.3734758914575644e-05,0.9999996344583891,0.013377493125912835,0.9956021650879567,0.8996868990148751,0.6494096676508586,0.1,5,0.7,30,50
69,model_0,0.9999999948804988,0.0008501562432482455,1.0,0.022159152217866577,0.9956021650879567,0.9557155893088426,0.45113612413406373,0.1,5,0.7,40,50
70,model_9999,0.9999999948804988,0.00012701280201951316,0.9999986461421821,0.019155170821462755,0.9949255751014885,0.8913417912790926,0.6017676075299581,0.1,5,0.9,20,50
71,model_9999,0.9999999948804988,0.000420304783315781,0.9999990252223712,0.019118175692191812,0.996617050067659,0.9293855724321991,0.5434490482012431,0.1,5,0.9,30,50
72,model_9999,0.9999999948804988,7.478869757381451e-05,0.9999990522995276,0.012802320555479937,0.9942489851150202,0.8913182424741943,0.5712042411168416,0.1,5,0.9,40,50
73,model_9999,0.999999912103853,0.008964754146532201,0.9999991876853093,0.06659881957750072,0.983085250338295,0.9472361552651202,1.1106251319249472,0.1,7,0.5,20,50
74,model_9999,0.9999999948804988,5.867330744737903e-05,0.9999990252223712,0.013064762624069633,0.9945872801082544,0.9021398014050788,1.708727482954661,0.1,7,0.5,30,50
75,model_0,0.9999999846414965,0.001950816561157073,1.0,0.03264971186937303,0.9915426251691475,0.9530742964794536,1.1212876915931702,0.1,7,0.5,40,50
76,model_9999,0.9999999890783975,0.0026908555577525146,0.9999990658381057,0.03413666997733535,0.9905277401894452,0.9530389732721065,0.5425521890322368,0.1,7,0.7,20,50
77,model_9999,0.9999999948804988,5.409601988471961e-05,0.9999987544508074,0.015062214796441147,0.9949255751014885,0.9038182424741944,0.6804485400517781,0.1,7,0.7,30,50
78,model_9999,0.9999999948804988,4.027056200536629e-05,0.9999991876853093,0.014100663577659836,0.9962787550744249,0.925786235723537,0.7223649303118388,0.1,7,0.7,40,50
79,model_9999,0.9999999948804988,0.0006687774569616031,0.999999323071091,0.01932323024294704,0.9949255751014885,0.9293267004199538,0.6827401002248128,0.1,7,0.9,20,50
80,model_9999,0.9999999948804988,0.00037062722710509547,0.9999991876853093,0.018231035748241697,0.9959404600811907,0.9254849091408611,0.6730759501457214,0.1,7,0.9,30,50
81,model_9999,0.9999999591122505,0.004505070003572583,0.9999993907639819,0.04944109018320763,0.9878213802435724,0.9529447780525139,0.5321087638537089,0.1,7,0.9,40,50
