,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test f1_score,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,patience
0,model_9999,1.0,8.893413701522086e-05,0.9999951558210882,0.023289140386362133,0.9972927241962775,0.9636148415977962,0.9728373048071093,76,0.05,3,0.5,20,50.0
1,model_9999,1.0,0.00010632661789310699,0.9999965014263416,0.021735287554248403,0.9972927241962775,0.9636040805785123,0.9641846527955981,74,0.05,3,0.5,30,50
2,model_9999,0.999999994455486,0.00042807617598282683,0.9999948867000377,0.02572498081273882,0.9959390862944163,0.9635610365013774,0.9536029456037856,59,0.05,3,0.5,40,50
3,model_9999,1.0,7.776416082519181e-05,0.9999974433500187,0.023087300529782896,0.9959390862944163,0.9398667068411387,0.9524398830267523,35,0.05,3,0.7,20,50
4,model_9999,1.0,0.00011012966630366216,0.9999966359868668,0.022881912295555584,0.9966159052453468,0.9484525654269972,0.9561062209848207,37,0.05,3,0.7,30,50
5,model_9999,0.999999994455486,0.0006473814675257921,0.9999936756553096,0.027979425403248097,0.9952622673434857,0.9574896694214876,0.9482826735398644,31,0.05,3,0.7,40,50
6,model_9999,1.0,0.0001640008727506206,0.9999956940631894,0.024710812693804277,0.9956006768189509,0.932290949265381,0.9505270180728433,37,0.05,3,0.9,20,50
7,model_9999,1.0,7.431605730494994e-05,0.9999966359868668,0.023205021476787782,0.9966159052453468,0.9424027203856749,0.9550349189035144,53,0.05,3,0.9,30,50
8,model_9999,1.0,0.00011814946110909125,0.9999932719737338,0.024711182118884515,0.9949238578680203,0.9362990702479339,0.9393754845105411,38,0.05,3,0.9,40,50
9,model_9999,1.0,8.720062634522947e-05,0.999993810215835,0.020605528777815067,0.9972927241962775,0.9626047405876951,0.971934335722322,74,0.05,5,0.5,20,50
10,model_9999,1.0,0.00014478050377333547,0.999995828623715,0.021655051405219478,0.9966159052453468,0.9524929694674014,0.9587845191176643,61,0.05,5,0.5,30,50
11,model_9999,1.0,0.0001285192207870537,0.9999930028526831,0.020558883822071536,0.9959390862944163,0.9373414543158862,0.9465476271344965,60,0.05,5,0.5,40,50
12,model_9999,1.0,0.00010171299454955964,0.9999955595026644,0.022389016422374775,0.9959390862944163,0.9504620064279156,0.9580949969587946,38,0.05,5,0.7,20,50
13,model_9999,1.0,0.0002181537754797667,0.9999970396684428,0.022601615304654557,0.9959390862944163,0.9524714474288338,0.9521490543818385,33,0.05,5,0.7,30,50
14,model_9999,1.0,0.0006865680173549416,0.9999963668658163,0.025581088331494084,0.9949238578680203,0.9463893193296602,0.941922573953824,26,0.05,5,0.7,40,50
15,model_9999,1.0,7.539292853395361e-05,0.999996736907261,0.025407105282550357,0.9959390862944163,0.9464216023875114,0.9578785467423444,43,0.05,5,0.9,20,50
16,model_9999,1.0,0.000176109134383609,0.999994617578987,0.023317592437546726,0.9952622673434857,0.9363098312672177,0.9457487676050164,33,0.05,5,0.9,30,50
17,model_9999,1.0,0.0013115284368065312,0.9999905807632271,0.035115330233340555,0.9912013536379018,0.9301308539944904,0.9066146311600857,26,0.05,5,0.9,40,50
18,model_9999,1.0,5.357470368299817e-05,0.999994617578987,0.019304152675831094,0.9976311336717428,0.9676552456382002,0.9746945266708114,83,0.05,7,0.5,20,50
19,model_9999,1.0,7.494970012638173e-05,0.9999944830184617,0.020193716571005483,0.9972927241962775,0.9626047405876951,0.9713833715349941,71,0.05,7,0.5,30,50
20,model_9999,1.0,9.934871661184876e-05,0.9999939447763603,0.020064991322423485,0.9972927241962775,0.9676444846189165,0.9703601370606889,67,0.05,7,0.5,40,50
21,model_9999,1.0,4.939273913140813e-05,0.9999912535658539,0.022703919624659154,0.9962774957698816,0.9403825183654728,0.9591236243197423,42,0.05,7,0.7,20,50
22,model_9995,0.999944367793529,0.8466001950244925,0.9995987741536142,1.4623822965560032,0.9028764805414552,0.9565721131772268,0.5565257614550927,15,0.05,7,0.7,30,50
23,model_9999,1.0,0.00020313915469139248,0.9999963668658163,0.02010916137350364,0.9962774957698816,0.9484418044077135,0.9495679727163897,36,0.05,7,0.7,40,50
24,model_9999,1.0,7.217782184550877e-05,0.9999921954895312,0.024118527228312626,0.9956006768189509,0.9302707472451791,0.9472671466311537,43,0.05,7,0.9,20,50
25,model_9999,1.0,9.86374777342274e-05,0.9999954249421389,0.021581723329074324,0.9959390862944163,0.9398559458218549,0.9501366253640594,39,0.05,7,0.9,30,50
26,model_9999,1.0,0.00011723264222824261,0.9999884277948222,0.02302951001261125,0.9942470389170897,0.9090478650137741,0.9239618716407885,38,0.05,7,0.9,40,50
27,model_9999,1.0,7.484864768618002e-05,0.9999959631842403,0.021608403271060714,0.9966159052453468,0.9575434745179063,0.9651305437291631,61,0.07,3,0.5,20,50
28,model_9999,1.0,0.00014930550720749185,0.999995828623715,0.021115219385185874,0.9972927241962775,0.9636040805785123,0.9662179730107365,52,0.07,3,0.5,30,50
29,model_9999,1.0,0.000145544934680575,0.999995828623715,0.023062590301134417,0.9969543147208122,0.9635933195592286,0.9608122622327169,46,0.07,3,0.5,40,50
30,model_9999,1.0,7.22426171302408e-05,0.9999955595026644,0.02436908080027893,0.9956006768189509,0.9413710973370064,0.9477666048122207,26,0.07,3,0.7,20,50
31,model_9999,1.0,9.617778040563295e-05,0.9999954249421391,0.024500542592910183,0.9966159052453468,0.9484525654269972,0.9561062209848207,25,0.07,3,0.7,30,50
32,model_9999,0.999999994455486,0.00030171729454247023,0.9999935410947843,0.023724038600943558,0.9956006768189509,0.9499354338842975,0.94776655898815,23,0.07,3,0.7,40,50
33,model_9999,1.0,7.441810182877484e-05,0.9999973087894934,0.024885725559379988,0.9952622673434857,0.9322801882460974,0.9418689846286731,28,0.07,3,0.9,20,50
34,model_9999,1.0,9.58279732120113e-05,0.9999955595026644,0.02392372265644413,0.9966159052453468,0.9484525654269972,0.9561062209848207,24,0.07,3,0.9,30,50
35,model_9999,1.0,0.0001950136845064479,0.9999936756553096,0.024113733956335065,0.9949238578680203,0.9362990702479339,0.9393754845105411,23,0.07,3,0.9,40,50
36,model_9999,1.0,8.263776552444698e-05,0.9999927337316326,0.021589970931450344,0.9966159052453468,0.9565333735078053,0.9642275746443758,54,0.07,5,0.5,20,50
37,model_9999,1.0,0.00012250699509542808,0.999997174228968,0.021637599266671484,0.9969543147208122,0.9575434745179063,0.9599705266710785,54,0.07,5,0.5,30,50
38,model_9999,1.0,0.0001419426983779246,0.9999930028526831,0.020974410089726468,0.9969543147208122,0.9625939795684115,0.9670489819275816,49,0.07,5,0.5,40,50
39,model_9999,1.0,0.00010613362888648496,0.9999950212605629,0.023479788904931777,0.9959390862944163,0.9403717573461893,0.9547892347224799,27,0.07,5,0.7,20,50
40,model_9999,1.0,9.600726569264333e-05,0.9999944830184617,0.022240400348519807,0.9966159052453468,0.9575327134986226,0.9576694553640472,25,0.07,5,0.7,30,50
41,model_9999,1.0,0.00015855589663206553,0.9999905807632273,0.022716228991570376,0.9959390862944163,0.9464216023875115,0.9510777561313981,26,0.07,5,0.7,40,50
42,model_9999,1.0,0.00012325050885705877,0.9999955595026642,0.0256198553446847,0.9952622673434857,0.9388350837924703,0.9492097847023971,28,0.07,5,0.9,20,50
43,model_9999,1.0,0.00014350706582388933,0.999994617578987,0.022046445992636117,0.994585448392555,0.9262088211662076,0.939769266043896,29,0.07,5,0.9,30,50
44,model_9999,0.999999994455486,0.0010813642275787289,0.9999931374132084,0.032229966549730135,0.9922165820642977,0.9241132920110193,0.9135507458614193,20,0.07,5,0.9,40,50
45,model_9999,1.0,6.510723134037679e-05,0.9999950212605629,0.020777980652946573,0.9969543147208122,0.9565441345270891,0.9685619642487415,58,0.07,7,0.5,20,50
46,model_9999,1.0,7.135228682888011e-05,0.9999960977447656,0.01980871065359441,0.9969543147208122,0.952503730486685,0.9609937611453837,50,0.07,7,0.5,30,50
47,model_9999,1.0,8.995502471636683e-05,0.9999947521395124,0.020379184619230755,0.9969543147208122,0.9625939795684115,0.9670489819275816,49,0.07,7,0.5,40,50
48,model_9999,1.0,5.589909779268803e-05,0.999995828623715,0.021121792768896377,0.9969543147208122,0.9565441345270891,0.9685619642487415,31,0.07,7,0.7,20,50
49,model_9999,1.0,4.8779152641467156e-05,0.9999962323052909,0.020411692162179286,0.9969543147208122,0.952503730486685,0.9609937611453837,30,0.07,7,0.7,30,50
50,model_9999,1.0,0.00036430034367981065,0.9999947521395124,0.02141482833399709,0.9959390862944163,0.9464216023875115,0.9510777561313981,25,0.07,7,0.7,40,50
51,model_9999,1.0,4.0540946161454565e-05,0.9999960977447656,0.023720507847230798,0.9952622673434857,0.9302599862258953,0.9445681567630033,34,0.07,7,0.9,20,50
52,model_9999,1.0,6.582130772540982e-05,0.9999967705473922,0.02102308405791649,0.9959390862944163,0.9348162017906336,0.9501366482517116,33,0.07,7,0.9,30,50
53,model_9999,1.0,8.879218571484255e-05,0.9999878895527208,0.021800485074597215,0.9942470389170897,0.9150977100550964,0.9259667386050049,30,0.07,7,0.9,40,50
54,model_9999,1.0,5.3122986329437e-05,0.9999943484579364,0.023809342425800184,0.9972927241962775,0.9636040805785123,0.9641846527955981,47,0.1,3,0.5,20,50
55,model_9999,1.0,5.686731653077202e-05,0.9999954249421389,0.02135577213946022,0.9976311336717428,0.9636148415977962,0.9685190424080927,40,0.1,3,0.5,30,50
56,model_9999,1.0,0.00013306176126617027,0.9999907153237526,0.02191017512962389,0.9972927241962775,0.9636040805785123,0.9641846527955981,35,0.1,3,0.5,40,50
57,model_9999,1.0,5.794381726135855e-05,0.9999948867000377,0.023185092126081296,0.9962774957698816,0.9423919593663912,0.9550241674292186,20,0.1,3,0.7,20,50
58,model_9999,1.0,7.039460362993331e-05,0.9999959631842403,0.02426456378683883,0.9966159052453468,0.9585428145087235,0.9621614398553116,20,0.1,3,0.7,30,50
59,model_9999,1.0,0.00010621994725814488,0.9999882932342969,0.023801124673987862,0.9966159052453468,0.9635825585399449,0.9585111890095666,17,0.1,3,0.7,40,50
60,model_9999,1.0,5.9091989656015463e-05,0.9999955595026644,0.025050633062550964,0.9959390862944163,0.9398667068411387,0.9547302028452662,19,0.1,3,0.9,20,50
61,model_9999,1.0,0.0001089044923597651,0.999995828623715,0.02221412425531522,0.9956006768189509,0.9423704373278237,0.9470822494058044,25,0.1,3,0.9,30,50
62,model_9999,1.0,8.849926023892143e-05,0.9999882932342969,0.02382789834914261,0.9956006768189509,0.951450585399449,0.9481644775678867,23,0.1,3,0.9,40,50
63,model_9999,1.0,7.305436239759439e-05,0.999990446202702,0.02121553430520557,0.9969543147208122,0.9615838785583103,0.9669877636845452,58,0.1,5,0.5,20,50
64,model_9999,1.0,6.989702529143293e-05,0.999993406534259,0.02232872043666662,0.9969543147208122,0.9575434745179063,0.9599705266710785,61,0.1,5,0.5,30,50
65,model_9999,1.0,0.0001308521717064822,0.9999835836159104,0.022035462520760014,0.9966159052453468,0.9524929694674014,0.9566593715379713,44,0.1,5,0.5,40,50
66,model_9999,1.0,0.00012793379671377655,0.9999948867000377,0.02249204221491775,0.9962774957698816,0.9464323634067953,0.9590033532265861,26,0.1,5,0.7,20,50
67,model_9999,1.0,6.923874412518998e-05,0.9999843909790623,0.024573552503698696,0.9966159052453468,0.9499677169421488,0.9599597885584079,25,0.1,5,0.7,30,50
68,model_9999,1.0,0.00011846441192987825,0.9999927337316326,0.022866284116342894,0.9966159052453468,0.9524929694674014,0.9566593715379713,20,0.1,5,0.7,40,50
69,model_9999,1.0,0.00010264532129020519,0.999993911136229,0.024675568791216074,0.9956006768189509,0.9403609963269054,0.9520902448499332,24,0.1,5,0.9,20,50
70,model_9999,1.0,0.0001692461400251166,0.999997174228968,0.02090402797789133,0.9956006768189509,0.9373306932966025,0.9490140281373529,19,0.1,5,0.9,30,50
71,model_9999,1.0,0.00017940610317564355,0.9999874858711448,0.024099048483668378,0.9949238578680203,0.9226842286501379,0.9342747464695931,18,0.1,5,0.9,40,50
72,model_9999,1.0,9.005747784798687e-05,0.9999437537004143,0.021369119901416146,0.9966159052453468,0.9540081209825527,0.9626533912520105,41,0.1,7,0.5,20,50
73,model_9999,1.0,8.723819756459554e-05,0.999993810215835,0.019844102407468204,0.9976311336717428,0.9676552456382002,0.9746945266708114,34,0.1,7,0.5,30,50
74,model_9999,1.0,7.120322739108162e-05,0.9999892351579741,0.021071977810411056,0.9962774957698816,0.9474424644168964,0.9538991824978017,37,0.1,7,0.5,40,50
75,model_9999,1.0,6.297794216808773e-05,0.9999886969158728,0.02098750094435603,0.9959390862944163,0.9428970098714418,0.9565208364540816,26,0.1,7,0.7,20,50
76,model_9999,1.0,9.25168824455709e-05,0.9999943484579364,0.02229400659269931,0.9969543147208122,0.9535030704775024,0.9550883717889237,24,0.1,7,0.7,30,50
77,model_9999,1.0,7.976246098593805e-05,0.9999947521395124,0.01928310233699429,0.9966159052453468,0.9625832185491277,0.9648397379881551,22,0.1,7,0.7,40,50
78,model_9999,1.0,6.791642745804602e-05,0.9999966359868668,0.02375196001179447,0.9962774957698816,0.9363421143250689,0.9499178294076549,26,0.1,7,0.9,20,50
79,model_9999,1.0,5.1166071549619234e-05,0.9999947521395124,0.021384112972481783,0.9949238578680203,0.9347839187327823,0.9402818347764705,25,0.1,7,0.9,30,50
80,model_9999,1.0,9.812780886653402e-05,0.9999925991711072,0.021837779594214048,0.994585448392555,0.9166236225895317,0.9290177352769043,25,0.1,7,0.9,40,50
