,model_name,train auc,train loss,validation auc,validation loss,test accuracy,test sensitivity,test af1_score,Training Time (s),lr,max_depth,colsample_bytree,gamma,test f1_score,early stopping (iterations)
0,model_9984,0.9999999416020307,0.00257884335370605,0.9984036866740501,0.02151129795434022,0.9956021650879567,0.9171609599724615,,48,0.05,4,0.5,0,0.9315854028114837,50.0
1,model_9981,0.9999996070083945,0.00440896762985064,0.9981494548620399,0.02283516140170157,0.9945872801082544,0.897463990275492,,31,0.05,4,0.5,0.2,0.9196645764823559,50
2,model_9977,0.999993685326615,0.00718849419551503,0.9977095027875322,0.02487046458105724,0.9945872801082544,0.897463990275492,,35,0.05,4,0.5,0.5,0.9196645764823559,50
3,model_9983,0.9999999416020307,0.00245831028659154,0.9983462187022895,0.02137274896419866,0.9956021650879567,0.9171609599724615,,52,0.05,4,0.7,0,0.9315854028114837,50
4,model_9982,0.9999996070083945,0.0043267797498325,0.9982495311177145,0.02280088866745109,0.9945872801082544,0.897463990275492,,42,0.05,4,0.7,0.2,0.9196645764823559,50
5,model_9958,0.9998444259622835,0.04141594979863971,0.995849870914534,0.05695507812461184,0.9925575101488497,0.8328175256290272,,13,0.05,4,0.7,0.5,0.8666262457789081,50
6,model_9982,0.9999999416020307,0.00225714982493792,0.9982247846670426,0.02192628687142302,0.9952638700947226,0.9111003539118555,,60,0.05,4,0.9,0,0.928213042739172,50
7,model_9978,0.9999996070083945,0.00432442089861574,0.9978834584556124,0.02375449529427726,0.9945872801082544,0.897463990275492,,52,0.05,4,0.9,0.2,0.9196645764823559,50
8,model_9974,0.9999942482451089,0.00731186227898767,0.9974265079709213,0.02568023255061332,0.9942489851150202,0.8914033842148859,,26,0.05,4,0.9,0.5,0.9162922220995875,50
9,model_9975,0.9999510330241429,0.03412932797059756,0.9975866908254841,0.05174426328521902,0.9935723951285521,0.8565548993664011,,13,0.05,6,0.5,0,0.881889991359018,50
10,model_9976,0.999930139834027,0.03835806048130737,0.997664632960235,0.05519533478900669,0.9935723951285521,0.8565548993664011,,12,0.05,6,0.5,0.2,0.8824431419121684,50
11,model_9977,0.9999596051478035,0.01862327260992437,0.9977669874536145,0.03564722134627109,0.9935723951285521,0.8565548993664011,,14,0.05,6,0.5,0.5,0.8824431419121684,50
12,model_9974,0.9999795050738604,0.02245900919606913,0.9974479064017179,0.04073246521213632,0.9939106901217862,0.8868579296694313,,15,0.05,6,0.7,0,0.9127515194429693,50
13,model_9976,0.9999500345114013,0.03327133251013545,0.9976107189426042,0.05036497447911917,0.9935723951285521,0.8565548993664011,,14,0.05,6,0.7,0.2,0.8824431419121684,50
14,model_9971,0.9999300177783295,0.03411821265092825,0.997164445347323,0.0506312368999718,0.9935723951285521,0.8565548993664011,,13,0.05,6,0.7,0.5,0.8824431419121684,50
15,model_9965,0.9999169896839027,0.04761855935655471,0.9965363246240944,0.06485003637747287,0.9925575101488497,0.8368579296694313,,13,0.05,6,0.9,0,0.8713641005167627,50
16,model_9967,0.9999101599632164,0.04786355209782475,0.9967593783209638,0.06476570140565362,0.9925575101488497,0.8368579296694313,,13,0.05,6,0.9,0.2,0.8713641005167627,50
17,model_9965,0.9998538955814626,0.06970833843430523,0.9965249101065509,0.08518209715319623,0.9918809201623816,0.8206963135078151,,12,0.05,6,0.9,0.5,0.8610840628082008,50
18,model_9983,0.9999868819245937,0.01990136968646276,0.9983314882256906,0.03854003834414658,0.9945872801082544,0.8989791417906434,,15,0.05,9,0.5,0,0.9197848266026061,50
19,model_9983,0.999976498994334,0.02243224815791615,0.9983885836028683,0.04024611115587953,0.9942489851150202,0.8686761114876131,,14,0.05,9,0.5,0.2,0.8900295958369613,50
20,model_9984,0.9999772639232233,0.01426235770522291,0.9984963529135478,0.03168678573942056,0.9945872801082544,0.8989791417906434,,15,0.05,9,0.5,0.5,0.9203379771557565,50
21,model_9981,0.9999584630138522,0.04295977901349219,0.9981385976082104,0.06059926426912757,0.9939106901217862,0.862615505427007,,13,0.05,9,0.7,0,0.8858154925069424,50
22,model_9979,0.9999529769270845,0.04155378914236314,0.9979520858232164,0.05885769260533064,0.9939106901217862,0.862615505427007,,13,0.05,9,0.7,0.2,0.8858154925069424,50
23,model_9976,0.999935440206604,0.04247522640490452,0.997698425294261,0.05903719442723891,0.9939106901217862,0.862615505427007,,12,0.05,9,0.7,0.5,0.8858154925069424,50
24,model_9974,0.9999766583978833,0.03422006109168482,0.997401874890046,0.05269736361517212,0.9939106901217862,0.8868579296694313,,14,0.05,9,0.9,0,0.9127515194429693,50
25,model_9963,0.9999647034977617,0.0374490736372152,0.9963284636172841,0.05577087940154182,0.9939106901217862,0.8868579296694313,,14,0.05,9,0.9,0.2,0.9127515194429693,50
26,model_9962,0.9999839768517939,0.0147231836729732,0.996205154015122,0.03358542342485635,0.9935723951285521,0.8792821720936738,,16,0.05,9,0.9,0.5,0.9092589187279452,50
27,model_9984,0.9999999416020307,0.00238901807893732,0.9984175752364105,0.0215040024795134,0.9949255751014885,0.9050397478512494,,28,0.1,4,0.5,0,0.9248406845643827,50
28,model_9982,0.9999996070083945,0.00428944010203883,0.9982273977727302,0.02283951716424741,0.9945872801082544,0.8989791417906434,,20,0.1,4,0.5,0.2,0.9206265774443568,50
29,model_9977,0.9999913326409446,0.00728887567695018,0.9977095399992938,0.02493777433710974,0.9945872801082544,0.8989791417906434,,14,0.1,4,0.5,0.5,0.9206265774443568,50
30,model_9984,0.9999999416020307,0.00216294677008979,0.9984585163921438,0.02113601813244358,0.9956021650879567,0.9171609599724615,,34,0.1,4,0.7,0,0.9315854028114837,50
31,model_9981,0.9999996070083945,0.00426799681009088,0.9981309018234344,0.02314295297533437,0.9945872801082544,0.897463990275492,,25,0.1,4,0.7,0.2,0.9196645764823559,50
32,model_9974,0.9999946891079056,0.00721682511317586,0.9974562230329814,0.02518112270861498,0.9945872801082544,0.897463990275492,,17,0.1,4,0.7,0.5,0.9196645764823559,50
33,model_9981,0.9999999416020307,0.00235003376298838,0.9981031215123399,0.02176123514439383,0.9952638700947226,0.9111003539118555,,31,0.1,4,0.9,0,0.928213042739172,50
34,model_9981,0.9999996070083945,0.00440024537515774,0.9981050209074899,0.02296840171994162,0.9942489851150202,0.8914033842148859,,19,0.1,4,0.9,0.2,0.9162922220995875,50
35,model_9974,0.9999936800615059,0.00715435459844608,0.9974662506306554,0.0252411346436277,0.9942489851150202,0.8914033842148859,,23,0.1,4,0.9,0.5,0.9162922220995875,50
36,model_9984,0.9999999416020307,0.00212398705944766,0.9984711318394972,0.02167689919343306,0.9949255751014885,0.9050397478512495,,23,0.1,6,0.5,0,0.9248406845643827,50
37,model_9980,0.9999998300708185,0.00383466132516317,0.9980944193455693,0.02316200018021686,0.9945872801082544,0.8989791417906434,,21,0.1,6,0.5,0.2,0.9206265774443569,50
38,model_9981,0.9999954750911164,0.00650647112366836,0.998198666141177,0.02515468859472313,0.9942489851150202,0.8929185357300373,,15,0.1,6,0.5,0.5,0.9172542230615885,50
39,model_9976,0.9999551596789874,0.02953808604701392,0.9976830158346008,0.04700663219003135,0.9935723951285521,0.8565548993664011,,10,0.1,6,0.7,0,0.8824431419121684,50
40,model_9975,0.9999412182774862,0.02987817975296669,0.997579566919227,0.04706212511936427,0.9935723951285521,0.8565548993664011,,10,0.1,6,0.7,0.2,0.8824431419121684,50
41,model_9975,0.9999190929873369,0.03302234328261848,0.9975240485994779,0.04966466619881407,0.9935723951285521,0.8565548993664011,,9,0.1,6,0.7,0.5,0.8824431419121684,50
42,model_9973,0.9999041583275013,0.04582435673874315,0.9973887622956038,0.06279431913849547,0.9928958051420839,0.8429185357300373,,10,0.1,6,0.9,0,0.8747364454370823,50
43,model_9976,0.9998918688406242,0.04605036533772686,0.9976582855140421,0.06244122427138368,0.9928958051420839,0.8429185357300373,,9,0.1,6,0.9,0.2,0.8747364454370823,50
44,model_9966,0.9998637419193477,0.04672352883738462,0.9966872607182334,0.06262468511089984,0.993234100135318,0.850494293305795,,9,0.1,6,0.9,0.5,0.8790707932098836,50
45,model_9979,0.9999664506523593,0.02949134449664775,0.9979560230870008,0.04782430348219665,0.9939106901217862,0.862615505427007,,10,0.1,9,0.5,0,0.8852623419537918,50
46,model_9980,0.999979515599492,0.01794618852552671,0.9980813168830591,0.03649417815682086,0.9942489851150202,0.8929185357300374,,10,0.1,9,0.5,0.2,0.9155707213780868,50
47,model_9979,0.9999482131619785,0.02673759872992576,0.997909642627163,0.04450859448901492,0.9939106901217862,0.862615505427007,,9,0.1,9,0.5,0.5,0.8858154925069424,50
48,model_9982,0.9998937275271982,0.05972321165680488,0.9982084024667538,0.07629295910742633,0.9939106901217862,0.862615505427007,,9,0.1,9,0.7,0,0.8858154925069424,50
49,model_9980,0.9999754741560467,0.02477703489672689,0.9980621435464823,0.04300481800294918,0.9945872801082544,0.8989791417906434,,9,0.1,9,0.7,0.2,0.9203379771557565,50
50,model_9974,0.9999212599496452,0.03767068943283437,0.9974617095922444,0.05506602575100142,0.9942489851150202,0.8686761114876131,,9,0.1,9,0.7,0.5,0.8900295958369613,50
51,model_9972,0.9999516385525404,0.03301829882454933,0.99728060877945,0.05140429959066605,0.9935723951285521,0.8565548993664011,,10,0.1,9,0.9,0,0.8824431419121684,50
52,model_9968,0.9999461735212407,0.03591800442785651,0.9968311616548597,0.0538875350743754,0.9935723951285521,0.8565548993664011,,9,0.1,9,0.9,0.2,0.8824431419121684,50
53,model_9965,0.9999974826529326,0.00599298741935803,0.9965363986833564,0.02602321388577133,0.9939106901217862,0.8853427781542799,,20,0.1,9,0.9,0.5,0.9120781187695687,50
54,model_9980,0.9999999416020307,0.00300273434672343,0.9980642203524445,0.02250160171871192,0.9949255751014885,0.9050397478512494,,10,0.3,4,0.5,0,0.9248406845643827,50
55,model_9981,0.9999991608835466,0.00445339639816094,0.9981884585844577,0.02298353695981261,0.9949255751014885,0.9050397478512494,,12,0.3,4,0.5,0.2,0.9248406845643827,50
56,model_9979,0.9999897659392497,0.00730125101114214,0.9979138122498042,0.02533767115737929,0.9945872801082544,0.8989791417906434,,7,0.3,4,0.5,0.5,0.9206265774443568,50
57,model_9985,0.9999999416020307,0.00090942473552097,0.9985572317918779,0.01995442809579603,0.9952638700947226,0.9111003539118555,,37,0.3,4,0.7,0,0.928213042739172,50
58,model_9979,0.9999996070083945,0.0044275413466055,0.9979442776138752,0.0223464718458368,0.9949255751014885,0.9050397478512494,,8,0.3,4,0.7,0.2,0.923998933722632,50
59,model_9972,0.9999844229747317,0.00752163676743915,0.9972564624660614,0.02473321098503107,0.9942489851150202,0.8914033842148859,,8,0.3,4,0.7,0.5,0.9162922220995875,50
60,model_9985,0.9999999416020307,0.00108614138837331,0.998531810475003,0.0201310033881028,0.9952638700947226,0.9111003539118555,,30,0.3,4,0.9,0,0.928213042739172,50
61,model_9977,0.9999997185396066,0.00428569824084383,0.9977320174119713,0.02192231265403753,0.9949255751014885,0.9050397478512494,,9,0.3,4,0.9,0.2,0.923998933722632,50
62,model_9976,0.9999855330198314,0.00746912849333035,0.9976311496313258,0.02399110412216955,0.9939106901217862,0.8853427781542798,,9,0.3,4,0.9,0.5,0.9129198696113194,50
63,model_9981,0.9999999416020307,0.00100512326473402,0.9981505886659792,0.02224493755805221,0.9945872801082544,0.9050289906519938,,23,0.3,6,0.5,0,0.9221417004410805,50
64,model_9975,0.9999992724147585,0.00410671394150994,0.9975866529674783,0.02332552559389566,0.9945872801082544,0.8989791417906434,,11,0.3,6,0.5,0.2,0.9214683282861076,50
65,model_9973,0.9999871901957418,0.00683361216438327,0.9973200988282253,0.02607854698527559,0.9945872801082544,0.8989791417906434,,8,0.3,6,0.5,0.5,0.9214683282861076,50
66,model_9986,0.9999999416020307,0.00082304810080825,0.9986030151203832,0.02169208495359593,0.9956021650879567,0.9171609599724615,,30,0.3,6,0.7,0,0.9315854028114836,50
67,model_9974,0.9999996070083945,0.00402886486092978,0.9974931624281976,0.02297776422860394,0.9945872801082544,0.8989791417906434,,8,0.3,6,0.7,0.2,0.9214683282861076,50
68,model_9972,0.9999869934565699,0.00698145103248254,0.9972799861754579,0.02499029520200782,0.9945872801082544,0.8989791417906434,,7,0.3,6,0.7,0.5,0.9214683282861076,50
69,model_9984,0.9999999416020307,0.00098772108742958,0.9984676406341043,0.02078407309257194,0.9945872801082544,0.8989791417906434,,22,0.3,6,0.9,0,0.9206265774443568,50
70,model_9972,0.9999993839459707,0.00390993463594885,0.9972883178831632,0.02305559148892226,0.9942489851150202,0.8929185357300373,,9,0.3,6,0.9,0.2,0.9180959739033394,50
71,model_9972,0.9999879867095532,0.00685087406848905,0.9972909824110167,0.02544899007638937,0.9939106901217862,0.8853427781542798,,7,0.3,6,0.9,0.5,0.9137616204530703,50
72,model_9978,0.9999999416020307,0.00094401077001303,0.9978390760247203,0.02399353503146252,0.9945872801082544,0.8989791417906434,,24,0.3,9,0.5,0,0.9206265774443568,50
73,model_9964,0.9999996070083945,0.00374039349268415,0.9964962600663096,0.02488719757677691,0.9949255751014885,0.9050397478512495,,7,0.3,9,0.5,0.2,0.9256824354061336,50
74,model_9972,0.9999952520286923,0.00622620781833715,0.9972748047988508,0.02651928487888536,0.9942489851150202,0.8929185357300373,,9,0.3,9,0.5,0.5,0.9172542230615885,50
75,model_9977,0.9999999416020307,0.00109439105121398,0.9977564628506247,0.02290176898531181,0.9952638700947226,0.9111003539118555,,17,0.3,9,0.7,0,0.928213042739172,50
76,model_9972,0.9999999416020307,0.00353016819883201,0.9972482203734172,0.02423587567294588,0.9945872801082544,0.8989791417906434,,10,0.3,9,0.7,0.2,0.9214683282861076,50
77,model_9969,0.9998967130643681,0.01716991606741934,0.9969470683536851,0.03620433211607004,0.993234100135318,0.850494293305795,,5,0.3,9,0.7,0.5,0.8790707932098837,50
78,model_9981,0.9999999416020307,0.00101130844198642,0.9981863359833545,0.02360136889238385,0.9945872801082544,0.8989791417906434,,20,0.3,9,0.9,0,0.9206265774443568,50
79,model_9969,0.9999996070083945,0.00360969773645315,0.9969113278958335,0.02517264941053008,0.9942489851150202,0.8929185357300373,,7,0.3,9,0.9,0.2,0.9180959739033394,50
80,model_9967,0.9999952520286923,0.00626847884577599,0.9967446768599961,0.02721912172396804,0.9942489851150202,0.8929185357300373,,8,0.3,9,0.9,0.5,0.9180959739033394,50
